system:index,UF,UF_codigo_gaul,def_anual_mm,excedente_anual_mm,indice_aridez_ia,indice_hidrico_ih,indice_umidade_im,latitude,longitude,municipio,municipio_codigo_gaul,pet_anual_mm,th_classe,th_classe_codigo,th_petr,th_pety,th_subtipo,thornthwaite_completo,.geo
000000000000000015d2_0,Alagoas,666,290.98333528637886,428.00000405311584,22.987249558391543,33.81136206469936,20.019012329664434,-8.960694959092226,-35.77540619005994,Colonia Leopoldina,6376,1265.8466796875,B1,5,b2',A',s,B1sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d3_0,Alagoas,666,249.57666671276093,631.0666601657867,19.488737420252072,49.278214172164965,37.584971720013726,-9.634431422181867,-35.82032195426592,Coqueiro Seco,6377,1280.619987487793,B1,5,b2',A',s,B1sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d4_0,Alagoas,666,390.960000038147,282.40000319480896,29.66890369095735,21.430577287434325,3.6292350728599168,-10.083589064241629,-36.224563832119706,Coruripe,6378,1317.7433319091797,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d5_0,Alagoas,666,887.9966645240784,26.0,65.14713248281569,1.9074682509770613,-37.18081123871235,-9.634431422181867,-36.80846876679739,Craibas,6379,1363.0633163452148,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d6_0,Alagoas,666,1007.5566673278809,24.966666638851166,68.77770352257754,1.7042713841475032,-39.56235072939902,-9.409852601151988,-38.06611016456472,Delmiro Gouveia,6380,1464.9466552734375,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d7_0,Alagoas,666,792.1399965286255,45.999999701976776,58.29330853930762,3.3851240780498704,-31.5908610455347,-9.364936836946011,-37.07796335203325,Dois Riachos,6381,1358.8866653442383,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d8_0,Alagoas,666,698.6933346986771,58.19999933242798,50.93705051784888,4.242972072165481,-26.319258238543846,-9.409852601151988,-36.763553002591415,Estrela De Alagoas,6382,1371.6800003051758,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d9_0,Alagoas,666,636.8666767477989,80.76666706800461,46.45881180451351,5.891850715995549,-21.983436366712557,-9.903926007417724,-36.673721474179466,Feira Grande,6383,1370.8199844360352,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015da_0,Alagoas,666,456.9133347272873,210.93333315849304,32.963079589192766,15.217354628240576,-4.560493125275082,-10.308167885271509,-36.35931112473763,Feliz Deserto,6384,1386.1366729736328,C1,7,b2',A',w,C1wA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015db_0,Alagoas,666,301.6199933886528,515.733323931694,23.195768605595962,39.66192926972093,25.74446810636335,-9.230189544328082,-35.77540619005994,Flexeiras,6385,1300.323341369629,B1,5,b2',A',s,B1sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015dc_0,Alagoas,666,759.8866672515869,46.6666664481163,55.95548407688479,3.4363754805745503,-30.13691496555632,-9.769178714799796,-36.85338453100337,Girau Do Ponciano,6386,1358.020004272461,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015dd_0,Alagoas,666,218.05666539818048,531.9000041484833,17.83033403741273,43.49307429401701,32.79487387156938,-8.960694959092226,-35.91015348267787,Ibateguara,6387,1222.9533386230469,B1,5,b2',A',s,B1sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015de_0,Alagoas,666,754.9133323431015,38.16666668653488,54.95221198917832,2.7782563492010905,-30.193070844305904,-9.544599893769915,-36.673721474179466,Igaci,6388,1373.7633209228516,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015df_0,Alagoas,666,595.7299963980913,132.63333451747894,41.90815388326185,9.330431951749983,-15.81446037820713,-10.128504828447605,-36.62880570997349,Igreja Nova,6389,1421.5133361816406,C1,7,b2',A',d,C1dA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e0_0,Alagoas,666,898.8066673278809,28.39999982714653,63.66553472577419,2.011668627895915,-36.1876522075686,-9.275105308534059,-37.706784050916916,Inhapi,6390,1411.7633209228516,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e1_0,Alagoas,666,893.7233324050903,33.966666519641876,63.481281508841334,2.4126566254543955,-35.6761122798504,-9.634431422181867,-37.212710644651175,Jacare Dos Homens,6391,1407.8533248901367,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e2_0,Alagoas,666,312.133339881897,488.19999837875366,23.56013754493972,36.84982551237513,22.7137429854113,-8.870863430680274,-35.46099584061811,Jacuipe,6392,1324.8366622924805,B1,5,b2',A',s,B1sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e3_0,Alagoas,666,346.7700017094612,377.8999924659729,25.30275212004691,27.574212845393376,12.39256157336523,-9.095442251710155,-35.281332783794205,Japaratinga,6393,1370.4833374023438,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e4_0,Alagoas,666,846.8699927330017,43.466666877269745,60.85643213465987,3.1235328747448157,-33.3903264060511,-9.634431422181867,-36.988131823621295,Jaramataia,6394,1391.5866622924805,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e5_0,Alagoas,666,340.2366669476032,405.5000030994415,25.827028799316583,30.78110408301487,15.284886803424921,-9.095442251710155,-35.77540619005994,Joaquim Gomes,6395,1317.3666610717773,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e6_0,Alagoas,666,343.2533299922943,419.36667013168335,25.850179214602353,31.582224066925747,16.072116538164337,-8.960694959092226,-35.55082736903006,Jundia,6396,1327.856674194336,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e7_0,Alagoas,666,528.626663684845,108.86666774749756,39.20728956917075,8.074445085788447,-15.449928655714,-9.859010243211747,-36.449142653149586,Junqueiro,6397,1348.2866821289062,C1,7,b2',A',d,C1dA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e8_0,Alagoas,666,667.5166678726673,71.73333352804184,48.90423009348729,5.2553945348034485,-24.087143521288922,-9.814094479005773,-36.71863723838544,Lagoa Da Canoa,6398,1364.9466857910156,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
