code_muni,name_muni,abbrev_state,thornthwaite_completo,th_classe,th_classe_codigo,th_subtipo,th_pety,th_petr,def_anual_mm,excedente_anual_mm,pet_anual_mm,indice_umidade_im,indice_hidrico_ih,indice_aridez_ia,preenchido_por_vizinho
1100015.0,Alta Floresta d'Oeste,RO,B1wA'a',B1,5.0,w,A',a',212.13999924063685,557.4333314746618,1200.9133224487305,35.81851611514983,46.41744920757675,17.6648884873782,False
1100023.0,Ariquemes,RO,B4rB4'a',B4,2.0,r,B4',a',152.41999968886375,1189.16667483747,1122.466667175293,97.79485726614672,105.94227068052086,13.579022357290247,False
1100031.0,Cabixi,RO,B1wA'b4',B1,5.0,w,A',b4',238.44333504885435,600.5999967753887,1283.6999969482422,35.64181637717364,46.78663225077537,18.57469312266955,False
1100049.0,Cacoal,RO,B3wA'a',B3,3.0,w,A',a',195.32333517074585,997.233309864998,1165.989990234375,75.47571729888128,85.52674707477931,16.751716293163376,False
1100056.0,Cerejeiras,RO,B1wA'b4',B1,5.0,w,A',b4',260.88667142391205,518.2000006139278,1270.0533294677734,28.476599318167263,40.80143633268407,20.54139502419468,False
1100064.0,Colorado do Oeste,RO,B2wA'a',B2,4.0,w,A',a',221.55000080168247,672.5999982059002,1245.1833419799805,43.34060531734669,54.01614168210692,17.79256060793371,False
1100072.0,Corumbiara,RO,B1wA'a',B1,5.0,w,A',a',241.73999857902527,528.8666687607765,1240.2966613769531,30.94603747358708,42.64033639932877,19.49049820956949,False
1100080.0,Costa Marques,RO,B2rA'a',B2,4.0,r,A',a',182.94666135311127,611.433342218399,1212.2999877929688,41.38128767284987,50.43581195868303,15.09087380972193,False
1100098.0,Espigão d'Oeste,RO,B3rA'a',B3,3.0,r,A',a',193.26000082492828,896.3666775524616,1168.1400146484375,66.80797398181558,76.73452379954911,16.54424969622256,False
1100106.0,Guajará-Mirim,RO,B2rA'a',B2,4.0,r,A',a',158.34333300590515,730.5333359241486,1178.6733474731443,53.91886882680917,61.97928692374995,13.434030161567977,False
1100114.0,Jaru,RO,B4rB4'a',B4,2.0,r,B4',a',171.20666497945786,1019.4333194792272,1122.0200119018557,81.70169076910707,90.85696410630491,15.25878889532975,False
1100122.0,Ji-Paraná,RO,B4rB4'a',B4,2.0,r,B4',a',175.98000147938728,1070.7333391606808,1124.836669921875,85.80315383388792,95.19011673357414,15.6449381661437,False
1100130.0,Machadinho d'Oeste,RO,ArB4'a',A,1.0,r,B4',a',136.46999813616276,1282.1333330869677,1118.6899871826172,107.29079083187848,114.6102448200128,12.199089980223906,False
1100148.0,Nova Brasilândia d'Oeste,RO,B3wA'a',B3,3.0,w,A',a',197.3866674900055,816.7333301603794,1162.8833389282229,60.04913014834051,70.2334707893507,16.973901068350322,False
1100155.0,Ouro Preto do Oeste,RO,B4rB4'a',B4,2.0,r,B4',a',162.4733346104622,1085.6666622459888,1121.1700057983398,88.13852104222737,96.83336662872368,14.491409310827176,False
1100189.0,Pimenta Bueno,RO,B2wA'a',B2,4.0,w,A',a',205.08999967575076,743.8999904245138,1207.5899963378906,51.4119852352062,61.60203319673463,16.983413269214047,False
1100205.0,Porto Velho,RO,B4rB4'a',B4,2.0,r,B4',a',134.44666236639023,1117.3333257436752,1115.8233261108398,92.90586637376538,100.13532605005656,12.04909946048529,False
1100254.0,Presidente Médici,RO,B4rA'a',B4,2.0,r,A',a',176.82333427667618,1063.2666766047478,1150.1233215332031,83.22348204910384,92.44805810800632,15.374293431504112,False
1100262.0,Rio Crespo,RO,ArB4'a',A,1.0,r,B4',a',149.1233336199075,1332.833295404911,1114.3766708374023,111.57441893490464,119.60348150534672,13.381770950736811,False
1100288.0,Rolim de Moura,RO,B3wA'a',B3,3.0,w,A',a',200.3700028657913,841.8999983668327,1162.1033325195312,62.10101773675354,72.44622528889299,17.242012586899087,False
1100296.0,Santa Luzia d'Oeste,RO,B2wA'a',B2,4.0,w,A',a',229.846665263176,713.7000036388636,1174.1333465576172,49.03974545728505,60.78525967525962,19.575857029957614,False
1100304.0,Vilhena,RO,B2wA'a',B2,4.0,w,A',a',205.96666491031647,792.06665930897,1203.3800048828125,55.55075351512747,65.82016122048687,17.115679508932335,False
1100320.0,São Miguel do Guaporé,RO,B2rA'a',B2,4.0,r,A',a',175.7300009727478,695.7333454489708,1158.8666763305664,50.93729562872862,60.035667575837095,15.1639532451808,False
1100338.0,Nova Mamoré,RO,B3rA'a',B3,3.0,r,A',a',147.7566684819758,888.0333309173584,1145.8166580200195,69.76502953007395,77.50221858808435,12.895315096684012,False
1100346.0,Alvorada d'Oeste,RO,B3rB4'a',B3,3.0,r,B4',a',175.07666647434235,816.3333323895931,1139.2600021362305,62.43415297396998,71.65469961719745,15.367577738712452,False
1100379.0,Alto Alegre dos Parecis,RO,B1wA'a',B1,5.0,w,A',a',232.6000033020973,512.3000029176474,1219.2466659545898,30.5713364936338,42.017748928314695,19.07735405780149,False
1100403.0,Alto Paraíso,RO,ArB4'a',A,1.0,r,B4',a',147.90333330631256,1251.9333177506924,1125.1533279418943,103.38069389125734,111.26779672248767,13.145171385383897,False
1100452.0,Buritis,RO,B4rB4'a',B4,2.0,r,B4',a',135.45332992076874,1122.2999972105026,1130.8866729736328,92.05413983000516,99.24071297607992,11.97762191012458,False
1100502.0,Novo Horizonte do Oeste,RO,B2wA'a',B2,4.0,w,A',a',207.65666556358337,807.3333362340927,1160.5300064086914,58.82995985676477,69.5659165877511,17.893261218310556,False
1100601.0,Cacaulândia,RO,B4rB4'a',B4,2.0,r,B4',a',159.2533329129219,1059.1666792333126,1121.8299865722656,85.89667694922913,94.41418859461764,14.195852742314193,False
1100700.0,Campo Novo de Rondônia,RO,B4rB4'a',B4,2.0,r,B4',a',139.31666591763496,1128.6666577458382,1136.0166625976562,91.99483534031512,99.3530020206736,12.263611133930771,False
1100809.0,Candeias do Jamari,RO,ArB4'a',A,1.0,r,B4',a',150.9933321774006,1295.3999744653702,1118.063331604004,107.75811540393562,115.86105525945068,13.504899759191767,False
1100908.0,Castanheiras,RO,B3wA'a',B3,3.0,w,A',a',200.3333339691162,912.9666757583618,1163.4733276367188,68.13793290708118,78.46906792550257,17.218558364035655,False
1100924.0,Chupinguaia,RO,B1wA'a',B1,5.0,w,A',a',219.7700011730194,552.7000056505203,1226.4599990844729,34.31322711387699,45.06465812689363,17.919051688361073,False
1100940.0,Cujubim,RO,ArB4'a',A,1.0,r,B4',a',134.04333400726318,1450.9000017642977,1109.9733352661133,123.46909225809212,130.7148519397944,12.076266136170435,False
1101005.0,Governador Jorge Teixeira,RO,B3rB4'a',B3,3.0,r,B4',a',157.57666918635368,948.7333390414716,1120.2333297729492,76.25084121562313,84.69069021841747,14.066415004657252,False
