system:index,UF,UF_codigo_gaul,camargo_completo,cm_hidrico,cm_hidrico_codigo,cm_letra_seca,cm_termico,cm_termico_codigo,def_anual_mm,excedente_anual_mm,latitude,longitude,municipio,municipio_codigo_gaul,temp_anual_c,temp_mes_mais_frio_c,.geo
000000000000000015d6_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,1007.5566673278809,24.966666638851166,-9.409852601151988,-38.06611016456472,Delmiro Gouveia,6380,25.146805,21.928333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d7_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,792.1399965286255,45.999999701976776,-9.364936836946011,-37.07796335203325,Dois Riachos,6381,24.265278,21.131666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d8_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,698.6933346986771,58.19999933242798,-9.409852601151988,-36.763553002591415,Estrela De Alagoas,6382,23.677917,20.891666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d9_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,636.8666767477989,80.76666706800461,-9.903926007417724,-36.673721474179466,Feira Grande,6383,24.095833,21.285,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015da_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,456.9133347272873,210.93333315849304,-10.308167885271509,-36.35931112473763,Feliz Deserto,6384,25.070694,22.806667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015db_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,301.6199933886528,515.733323931694,-9.230189544328082,-35.77540619005994,Flexeiras,6385,23.26111,21.238333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015dc_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,759.8866672515869,46.6666664481163,-9.769178714799796,-36.85338453100337,Girau Do Ponciano,6386,23.954166,21.053333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015dd_0,Alagoas,666,ST-MOp,MO,4,p,ST,6,218.05666539818048,531.9000041484833,-8.960694959092226,-35.91015348267787,Ibateguara,6387,21.526806,19.338333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015de_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,754.9133323431015,38.16666668653488,-9.544599893769915,-36.673721474179466,Igaci,6388,24.070694,21.323334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015df_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,595.7299963980913,132.63333451747894,-10.128504828447605,-36.62880570997349,Igreja Nova,6389,25.380417,22.731667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e0_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,898.8066673278809,28.39999982714653,-9.275105308534059,-37.706784050916916,Inhapi,6390,24.503195,20.916666,"{""type"":""MultiPoint"",""coordinates"":[]}"
