code_muni,name_muni,abbrev_state,classe_koppen,classe_koppen_codigo,precip_anual_mm,precip_mes_mais_seco_mm,temp_anual_c,temp_mes_mais_frio_c,temp_mes_mais_quente_c,preenchido_por_vizinho
1100015.0,Alta Floresta d'Oeste,RO,Aw,4.0,1543.6999999999998,6.066666666666666,25.139166666666664,23.73333333333333,26.008333333333333,False
1100023.0,Ariquemes,RO,Aw,4.0,2159.3666666666663,6.533333333333333,25.68263888888889,24.898333333333323,26.316666666666663,False
1100031.0,Cabixi,RO,Aw,4.0,1641.6,11.3,25.445833333333336,23.53166666666667,26.66499999999999,False
1100049.0,Cacoal,RO,Aw,4.0,1965.0,8.1,24.78972222222222,23.65500000000001,25.72,False
1100056.0,Cerejeiras,RO,Aw,4.0,1522.1,8.9,25.460277777777776,23.668333333333333,26.630000000000003,False
1100064.0,Colorado do Oeste,RO,Aw,4.0,1692.1333333333332,10.066666666666666,24.41208333333334,22.633333333333333,25.523333333333333,False
1100072.0,Corumbiara,RO,Aw,4.0,1521.5666666666668,7.6,25.044861111111118,23.381666666666664,26.05333333333333,False
1100080.0,Costa Marques,RO,Aw,4.0,1635.5666666666668,10.466666666666669,26.12069444444445,24.800000000000008,27.12,False
1100098.0,Espigão d'Oeste,RO,Aw,4.0,1868.4666666666667,6.2,24.230277777777783,23.125000000000004,25.058333333333337,False
1100106.0,Guajará-Mirim,RO,Aw,4.0,1749.1333333333328,9.566666666666666,26.27555555555556,25.075,27.22833333333333,False
1100114.0,Jaru,RO,Aw,4.0,1970.4333333333327,7.366666666666666,25.19666666666667,24.29666666666667,25.98166666666667,False
1100122.0,Ji-Paraná,RO,Aw,4.0,2019.533333333333,11.1,24.93180555555556,24.113333333333333,25.711666666666662,False
1100130.0,Machadinho d'Oeste,RO,Am,2.0,2264.133333333333,17.066666666666666,25.705694444444443,25.091666666666665,26.351666666666667,False
1100148.0,Nova Brasilândia d'Oeste,RO,Aw,4.0,1782.1333333333332,7.233333333333333,24.855,23.66000000000001,25.701666666666668,False
1100155.0,Ouro Preto do Oeste,RO,Aw,4.0,2044.5333333333333,10.833333333333334,24.76444444444445,23.93166666666667,25.74166666666667,False
1100189.0,Pimenta Bueno,RO,Aw,4.0,1742.7333333333331,5.1,24.95125,23.585,25.813333333333333,False
1100205.0,Porto Velho,RO,Am,2.0,2098.6,19.566666666666663,26.352222222222224,25.603333333333328,27.058333333333334,False
1100254.0,Presidente Médici,RO,Aw,4.0,2035.1666666666667,9.566666666666666,24.826111111111107,23.761666666666667,25.926666666666677,False
1100262.0,Rio Crespo,RO,Am,2.0,2298.233333333333,8.866666666666667,25.586250000000003,24.861666666666668,26.185,False
1100288.0,Rolim de Moura,RO,Aw,4.0,1803.1333333333332,7.533333333333333,25.015,23.808333333333337,25.81333333333334,False
1100296.0,Santa Luzia d'Oeste,RO,Aw,4.0,1657.3333333333337,5.766666666666667,24.276666666666667,22.956666666666667,25.04833333333334,False
1100304.0,Vilhena,RO,Aw,4.0,1783.6,4.4,24.29402777777777,22.89666666666667,25.16333333333333,False
1100320.0,São Miguel do Guaporé,RO,Aw,4.0,1676.2666666666664,8.366666666666667,25.12430555555556,23.96333333333333,25.781666666666677,False
1100338.0,Nova Mamoré,RO,Aw,4.0,1886.033333333333,14.466666666666669,26.30680555555556,25.25166666666667,27.176666666666677,False
