system:index,UF,UF_codigo_gaul,classe_koppen,classe_koppen_codigo,latitude,longitude,municipio,municipio_codigo_gaul,precip_anual_mm,precip_mes_mais_seco_mm,temp_anual_c,temp_mes_mais_frio_c,temp_mes_mais_quente_c,.geo
000000000000000015bd_0,Alagoas,666,As,3,-9.275105308534059,-37.88644710774082,Agua Branca,6355,708.0666666666667,12.2,23.367361111111112,19.991666666666667,25.548333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015be_0,Alagoas,666,As,3,-9.679347186387844,-36.314395360531655,Anadia,6356,1074.1666666666665,18.3,23.851249999999997,21.349999999999998,25.688333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015bf_0,Alagoas,666,As,3,-9.769178714799796,-36.62880570997349,Arapiraca,6357,720.8333333333331,16.033333333333335,23.783055555555563,21.061666666666667,25.81833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c0_0,Alagoas,666,As,3,-9.49968412956394,-36.089816539501776,Atalaia,6358,1334.5333333333333,26.2,23.925416666666667,21.588333333333342,25.634999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c1_0,Alagoas,666,Am,2,-9.364936836946011,-35.55082736903006,Barra De Santo Antonio,6359,1695.4,35.9,24.498611111111114,22.65666666666667,25.791666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c2_0,Alagoas,666,As,3,-9.814094479005773,-35.955069246883845,Barra De Sao Miguel,6360,1411.6666666666667,28.4,24.33388888888889,22.208333333333332,25.88666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c3_0,Alagoas,666,BSh,5,-9.72426295059382,-37.122879116239226,Batalha,6361,566.9333333333333,12.833333333333334,24.805555555555554,21.721666666666675,26.971666666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c4_0,Alagoas,666,As,3,-9.544599893769915,-36.49405841735556,Belem,6362,1040.2333333333333,18.533333333333335,22.646527777777777,20.14333333333333,24.52833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c5_0,Alagoas,666,BSh,5,-9.814094479005773,-37.1677948804452,Belo Monte,6363,533.6666666666666,12.966666666666667,25.016666666666666,21.919999999999995,27.215,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c6_0,Alagoas,666,As,3,-9.679347186387844,-36.179648067913725,Boca Da Mata,6364,1213.0,22.366666666666667,23.924999999999997,21.496666666666666,25.694999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c7_0,Alagoas,666,As,3,-9.230189544328082,-36.0449007752958,Branquinha,6365,1280.5000000000002,24.633333333333333,23.91013888888889,21.613333333333337,25.60833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c8_0,Alagoas,666,As,3,-9.454768365357964,-36.94321605941532,Cacimbinhas,6366,604.7666666666664,11.933333333333334,24.22791666666667,21.245,26.314999999999994,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c9_0,Alagoas,666,As,3,-9.364936836946011,-36.13473230370775,Cajueiro,6367,1368.8333333333333,26.1,23.811111111111117,21.48,25.513333333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ca_0,Alagoas,666,As,3,-8.870863430680274,-35.55082736903006,Campestre,6368,1397.8999999999999,39.2,23.639305555555552,21.701666666666664,25.01833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015cb_0,Alagoas,666,As,3,-9.814094479005773,-36.26947959632568,Campo Alegre,6369,1046.9333333333334,18.566666666666666,23.973333333333343,21.52166666666667,25.826666666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015cc_0,Alagoas,666,As,3,-9.9488417716237,-36.763553002591415,Campo Grande,6370,784.4666666666667,19.4,24.310972222222222,21.424999999999997,26.47833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015cd_0,Alagoas,666,BSh,5,-9.140358015916132,-37.52712099409301,Canapi,6371,582.8333333333334,9.066666666666666,23.771666666666665,20.266666666666662,26.00166666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ce_0,Alagoas,666,As,3,-9.364936836946011,-36.089816539501776,Capela,6372,1364.8,26.0,23.749166666666667,21.439999999999998,25.42333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015cf_0,Alagoas,666,As,3,-9.454768365357964,-37.347457937269105,Carneiros,6373,602.9666666666667,10.966666666666667,23.801388888888884,20.45166666666666,26.018333333333327,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d0_0,Alagoas,666,As,3,-9.230189544328082,-36.26947959632568,Cha Preta,6374,1464.7,30.266666666666666,22.298194444444444,19.99166666666667,24.043333333333337,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d1_0,Alagoas,666,As,3,-9.634431422181867,-36.58388994576751,Coite Do Noia,6375,723.6666666666666,15.033333333333333,24.069444444444446,21.341666666666665,26.045,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d2_0,Alagoas,666,As,3,-8.960694959092226,-35.77540619005994,Colonia Leopoldina,6376,1402.5666666666668,35.3,22.50458333333333,20.423333333333332,24.035000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d3_0,Alagoas,666,Am,2,-9.634431422181867,-35.82032195426592,Coqueiro Seco,6377,1660.7333333333331,34.86666666666667,24.339583333333337,22.325000000000003,25.801666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d4_0,Alagoas,666,As,3,-10.083589064241629,-36.224563832119706,Coruripe,6378,1208.8333333333333,23.266666666666666,24.438194444444445,22.115000000000006,26.205,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d5_0,Alagoas,666,As,3,-9.634431422181867,-36.80846876679739,Craibas,6379,501.90000000000003,10.5,24.34958333333333,21.500000000000007,26.403333333333332,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d6_0,Alagoas,666,BSh,5,-9.409852601151988,-38.06611016456472,Delmiro Gouveia,6380,482.5666666666666,6.666666666666667,25.14680555555556,21.92833333333333,27.17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d7_0,Alagoas,666,As,3,-9.364936836946011,-37.07796335203325,Dois Riachos,6381,613.0333333333333,10.133333333333333,24.26527777777778,21.13166666666667,26.393333333333327,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d8_0,Alagoas,666,As,3,-9.409852601151988,-36.763553002591415,Estrela De Alagoas,6382,731.7000000000002,15.733333333333333,23.677916666666665,20.891666666666662,25.641666666666662,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d9_0,Alagoas,666,As,3,-9.903926007417724,-36.673721474179466,Feira Grande,6383,814.8666666666668,19.233333333333334,24.09583333333333,21.28500000000001,26.213333333333328,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015da_0,Alagoas,666,As,3,-10.308167885271509,-36.35931112473763,Feliz Deserto,6384,1140.3,25.666666666666668,25.070694444444445,22.80666666666667,26.834999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015db_0,Alagoas,666,As,3,-9.230189544328082,-35.77540619005994,Flexeiras,6385,1513.3666666666666,27.133333333333333,23.26111111111111,21.238333333333337,24.698333333333338,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015dc_0,Alagoas,666,As,3,-9.769178714799796,-36.85338453100337,Girau Do Ponciano,6386,645.4333333333333,15.3,23.95416666666667,21.05333333333333,26.106666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
